n value,Filter Size Start,No. of Residual Blocks,Optimizer,Accuracy
2,16,3,SGD,36.75
2,16,3,ADAM,42.22
2,16,3,RMSProp,23.34
2,32,3,SGD,39.53
2,32,3,ADAM,49.06
2,32,3,RMSProp,29.16
2,64,3,SGD,50.33
2,64,3,ADAM,50.97
2,64,3,RMSProp,31.54
2,16,4,SGD,33.47
2,16,4,ADAM,43.8
2,16,4,RMSProp,22.43
2,32,4,SGD,41.74
2,32,4,ADAM,48.85
2,32,4,RMSProp,21.73
2,64,4,SGD,43.86
2,64,4,ADAM,51.71
2,64,4,RMSProp,16.26
3,16,3,SGD,35.76
3,16,3,ADAM,45.58
3,16,3,RMSProp,32.13
3,32,3,SGD,45.08
3,32,3,ADAM,48.29
3,32,3,RMSProp,28.32
3,64,3,SGD,50.91
3,64,3,ADAM,51.73
3,64,3,RMSProp,32.33
3,16,4,SGD,35.21
3,16,4,ADAM,42.69
3,16,4,RMSProp,21.53
3,32,4,SGD,39.73
3,32,4,ADAM,49.72
3,32,4,RMSProp,24.19
3,64,4,SGD,45.17
3,64,4,ADAM,51.8
3,64,4,RMSProp,21.37
